id,title,first_author,year,journal,doi,key_words,main_aim,specific_aims,time_period_period_young_kyr,time_period_period_old_kyr,time_coverage_did_the_authors_deal_with_uneven_temporal_distribution_of_the_data,time_coverage_did_the_authors_use_bins_for_dealing_with_uneven_temporal_distribution,time_coverage_did_the_authors_use_interpolation_for_dealing_with_uneven_temporal_distribution,spatial_scale,region,country,study_taxa_terrestrial_plants,study_taxa_other,number_of_modern_pollen_records,number_of_fossil_pollen_records,method_of_choosing_pollen_data_did_the_authors_have_any_specific_method_for_selecting_records,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_amount_of_information,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_their_length,method_of_choosing_pollen_data_did_the_authors_select_records_based_on_the_presence_of_specific_taxa_life_forms,source_of_pollen_data_experimental_study,source_of_pollen_data_did_the_authors_source_from_database,source_of_pollen_data_which_database,source_of_pollen_data_did_the_authors_source_from_published_study,source_of_pollen_data_did_the_authors_source_from_unpublished_private_data,pollen_nomenclature_harmonisation,pollen_counts_corrections,age_depth_recalculation,source_of_fuctional_information_plant_functional_types,source_of_functional_information_plant_traits,source_of_fuctional_information_other,source_of_traits_data_did_the_authors_source_from_database,source_of_trait_data_which_database,source_of_traits_data_did_the_authors_source_from_published_study,source_of_traits_data_did_the_authors_source_from_unpublished_private_data,gap_filling_did_the_authors_somehow_gap_fill_missing_trait_data,gap_filling_how_did_authors_gap_fill_the_missing_trait_values,traits_did_the_authors_use_plant_height,traits_did_the_authors_use_leaf_morphology,traits_did_the_authors_use_sla,traits_did_the_authors_use_la,traits_did_the_authors_use_leaf_p,traits_did_the_authors_use_leaf_n,traits_did_the_authors_use_leaf_c,traits_did_the_authors_use_ldmc,traits_did_the_authors_use_seed_traits,traits_did_the_authors_use_wood_traits,traits_others,pf_ts_based_on_which_study_authors_assign_pollen_taxa_to_pf_ts_or_any_other_classes,bayesian_modelling_for_aligning_pollen_types_with_plant_species,cwm,linking_fossil_pollen_to_plant_taxa_did_the_authors_aggregate_the_traits,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_specialized_linking_table,linking_fossil_pollen_to_plant_taxa_did_the_authors_use_probabilistic_modelling,effect_of_variables_on_trait_composition_did_the_authors_test_it,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_climate,effect_of_variables_on_trait_composition_did_the_authors_incorporate_effect_of_humans,statistical_method_to_fit_the_temporal_trend,results,note
1,"Changing plant functional diversity over the last 12,000 years provides perspectives for tracking future changes in vegetation communities","
Adeleye, M. A.",2023,Nature Ecology and Evolution,https://doi.org/10.1038/s41559-022-01943-4,NA,"In this study, they are able to link modern plant traits to fossil pollen assemblages in southeast (SE) Australia and to reconstruct long-term changes in vegetation community strategies in response to past climates within an Australian vegetation context.","The goal in this study is to quantify  long-term changes in plant community ecological strategies and examine the role of associated direct climatic drivers of change (changes in temperature, El Niño/Southern Oscillation (ENSO) and Southern Westerly Winds (SWW)-driven precipitation) and indirect climatic drivers of change (changes in sea levels) in the vegetation of SE Australia through time.",0,12,TRUE,TRUE,FALSE,Continental,Australia and Oceania,Australia,TRUE,FALSE,NA,67,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,SE Australian Pollen Database,FALSE,FALSE,TRUE,"TRUE
",TRUE,FALSE,TRUE,FALSE,TRUE,AusTraits,FALSE,FALSE,TRUE,"Taxonomic aggregation 
to genus or family 
equivalents to bridge 
gaps.",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,"GAM, GLM","Their results show that FD in SE Australia strongly relates 
to climate, especially moisture changes and that climate has been the primary driver of vegetation change or distribution (including vegetation openness) in SE Australia at least on a millennial scale. The vegetation of most regions show the highest FD within the wetter early to mid-Holocene and only the Bass Strait islands, and possibly the entire eastern part of SE Australia, showed some degree of functional resilience (increasing FD trend) during the drier late Holocene. Furthermore, their results generally support the diversity–stability hypothesis and that differential functional response of species to disturbance is more important than species diversity to maintain ecosystem stability and the degree of FD-driven stability is greater in continental areas than on small islands.",Figures and Conclusion part!
2,"Relationships between plant traits and climate  in the 
Mediterranean region: A pollen data analysis","Barboni, D.",2004,"Journal of Vegetation
 Science",doi/10.1111/j.1654-1103.2004,"CCA; Drought; Leaf phenology; Leaf size; 
Morphological trait; Plant functional type; Response function","What are the correlations between the degree of drought stress and 
temperature, and the adoption of specific adaptive strategies by plants 
in the Mediterranean region?","We use a large data set of modern pollen surface samples 
covering the full range of climate across the Mediterranean 
region to investigate quantitative, regional scale relationships 
between 12 plant traits and climatic variables. Statistical 
analyses of these data allow the identification of climatic 
thresholds for trait occurrence and climatically determined 
gradients in trait abundance.",0,0,NA,NA,NA,Subcontinental,"Europe, Africa,
Middle East","Mediterranean
region",TRUE,FALSE,602,NA,TRUE,NA,NA,NA,FALSE,TRUE,European Pollen Database,FALSE,FALSE,NA,NA,NA,FALSE,TRUE,TRUE,TRUE,"Flora Europaea, Flora
of North America north of Mexico",TRUE,TRUE,NA,NA,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,NA,FALSE,"FALSE 
- trait scores?",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,"Stepwise multiple linear regression, 
CCA","Patterns in the abundance for the plant traits we considered 
are clearly determined by α, MTCO or a combination of both. 
In addition, trends in leaf size, texture, thickness, pubescence 
and aromatic leaves and other plant level traits such as 
thorniness and aphylly, vary according to the life form 
(tree, shrub, forb), the leaf type (broad, needle) and 
phenology (evergreen, summer-green).",NA
3,"Climate change and Arctic ecosystems: 1. Vegetation changes north of 55°N between the last glacial maximum, mid-Holocene, and present","Bigelow, N. H.",2003,Journal of Geophysical Research,10.1029/2002JD002558,NA,To reconstruct and map circum-arctic and sub-arctic vegetation patterns across the Northern Hemisphere high latitudes  for the Last Glacial Maximum and mid-Holocene to compare regional ecosystem changes against dynamic climate-biosphere models.,"1)To construct a harmonized, high-latitude fossil pollen and macrofossil dataset across North America, Europe, and Northern Asia.

2) To adapt and refine a standardized biomization scheme designed to differentiate complex Arctic tundra and boreal forest categories.

3) To evaluate the geographic extent of changes in the northern treeline, the distribution of cold steppe, and structural variations in tundra types during key paleoclimatic intervals.",0,18,FALSE,TRUE,FALSE,Subcontinental,"Asia, North America, Europe",NA,TRUE,FALSE,661,507,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"North American Pollen Database, European Pollen Database",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"The adapted high-latitude biomization scheme successfully reconstructed modern potential vegetation across the circum-polar zone, accurately distinguishing between sub-types of tundra (e.g., shrub tundra vs. prostrate dwarf-shrub tundra) and boreal forests.

Mid-Holocene: Documented a significant northward shift of the forest-tundra boundary across Northern Eurasia. In Siberia, the boreal treeline migrated north by 100 to 200 km, driven by warmer summers. In contrast, the treeline in North America (Canada and Alaska) was close to its modern position or showed only minor local shifts, illustrating a strong regional asymmetry in Holocene thermal maximum responses.

Last Glacial Maximum: Characterized by extreme cold and widespread aridity. Boreal forest biomes were completely absent north of 55°N. Instead, the landscape was dominated by an extensive, open, and heterogeneous matrix of cold steppe, graminoid tundra, and prostrate dwarf-shrub tundra across Beringia and unglaciated Eurasia, reflecting a major restructuring of Arctic ecosystems.",NA
4,"Modern Pollen–Plant
 Diversity Relationships Inform Palaeoecological Reconstructions of Functional and Phylogenetic Diversity in Calcareous Fens","Blaus, A.",2020,Frontiers in Ecology and Evolution,10.3389/fevo.2020.00207,"pollen–plant relationships, calcareous spring
fens, functional diversity, phylogenetic diversity, Ellenberg indicators, Holocene, palynological diversity","To explore modern pollen-plant diversity relationships in calcareous
fens and apply these to a Holocene record to reconstruct long-term
diversity changes.","1) Test correlations between taxonomic richness, FD, PD, and EIVs in modern pollen vs. plant data.
2) Determine the spatial scale best reflected by pollen.
3) Apply significant diversity measures to the Kanna fen record.",0,9,NA,NA,NA,Regional,Europe,Estonia,TRUE,FALSE,34,1,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,"BiolFlor, LEDA trait database",TRUE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,GAM,"Their results suggest that while pollen of herbaceous taxa
 in fens reflects vegetation at local fen scale, the pollen of woody taxa is likely to reflect larger landscape scale forest vegetation. Dividing woody and herbaceous taxa in pollen-based diversity estimates improves our understanding of spatial scales reflected in palaeodiversity reconstructions.
Correlations between pollen- and plant-based estimates of functional and phylogenetic diversity indicated that pollen data reflected the functional and phylogenetic aspects of plant communities reasonably well.
The largest changes in the FD and PD of herbaceous taxa were related to the bog-fen transition around 7 ka. Our results show that climate and other abiotic processes have considerably influenced community FD and PD through the 9.2 ka.",INTRODUCTION
5,Community-level functional interactions with fire track long-term structural development and fire adaptation,"Brussel, T.",2018,Journal of Vegetation Science,10.1111/jvs.12654,"community level, fire, fire adaptation, fire severity,
flammability, functional expressions,  functional interactions and responses, paleoecology, plant community, structural development","Our focus is on morphological and
 structural traits that indicate sensitivity to changes  in fire activity.
When combined with reconstructed fire history, variation in the abundances
(i.e., scores) of  these functional attributes suggest selection of plant community
expressions that indicate community-level responses to fire related  to changes
in structural development and changes in fire adaptation.","1) Can fossil pollen records be used
to examine past variations in functional attributes;
2) can community- level, functional responses to fire be obtained by coupling fire history with pollen-derived plant traits;
3) has directional selection promoted attributes that increase community flammability?",0,13.5,TRUE,TRUE,FALSE,Regional,North America,USA,TRUE,FALSE,NA,1,TRUE,TRUE,NA,FALSE,FALSE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,PLANTS Database,TRUE,FALSE,TRUE,"Overlapping matrix
assignment",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,NA,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,"Spearman's correlation
coefficient","Nine of the 14 functional attributes were significantly related
 to fire fre quency (number of fires 1,000 per year). When combined with fire history data,  variation in the abundances of functional attributes suggest selection of plant  community expressions that indicate community-level responses to fire related to  changes in structural development and changes in fire adaptation. Fire frequency  variations may drive directional selection for fire- adapted attributes, and against  fire-sensitive attributes. Our results indicate increased Holocene fire activity may  have been linked to vegetation functional interactions with fire.",NA
6,"Functional Paleoecology
 and the Pollen-Plant Functional Trait Linkage","Brussel, T.",2021,Frontiers in Ecology and Evolution,10.3389/fevo.2020.564609,"ecological function, functional diversity,
latitudinal functional diversity gradient, paleoecology, plant functional traits, pollen-derived function, pollen-plant functional trait linkage, trait space","The overarching question we work to
 address is, does the pollen-plant functional trait linkage represent
ecological function in North America?","Functional trait data representing primary axes of plant strategy are used to assess spatial relationships between the pollen-plant functional trait linkage (i.e., estimates of site-level function via individual traits) and the functional trait data used to inform these pollen-derived values. We then use these functional estimates from North American sites to quantify functional diversity, the biodiversity metric that governs ecosystem function, and therefore the ability of ecosystems to provide services for humans (Diaz et al., 2007). To present a macroecological example of the utility of making the pollen-plant functional linkage, we compared pollen-based functional diversity estimates to those from modern tree assemblages in the form of latitudinal functional diversity gradient, a pattern found to be embedded within the latitudinal biodiversity gradient for the western hemisphere.",0,0,NA,NA,NA,Continental,"North
America","USA, Canada,
Mexico",TRUE,FALSE,3033,NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,Neotoma,FALSE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,FALSE,TRUE,BIEN,FALSE,FALSE,TRUE,Taxonomic mean/standarddeviation pooling,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,"Generalized least squares regression, exponential spatial covariance function","Results indicated that the patterns in pollen-based function
 sufficiently track ecological function in trait and geographic space and the macroecological biodiversity pattern was reconstructed, although there were minor differences between the slopes of the functional diversity and each of the pollen index gradients. Taken together, the outcomes of our investigation indicate reliability in extending the pollen-plant functional trait linkage into deeper time, at least for examining North American functional dynamics.",INTRODUCTION
7,"A method for reconstructing
 temporal  changes in vegetation functional trait  composition using Holocene pollen  assemblages","Carvalho, F.",2019,PLoS ONE,https://doi.org/10.1371/journal.pone.0216698,NA,"They tried to determine whether traits assigned
 to pollen types could be used to reconstruct  traits found in the vegetation from pollen assemblages.","They develop a new method for using
 Holocene pollen records to reconstruct the functional characteristics of past plant communities in lowland fens to understand historical ecosystem processes in wetlands. First, they compare plot-level (~ 12.6 m2) trait variation seen in the local fen vegetation with that calculated from modern pollen assemblages originating from moss polsters. We then select the traits that show the best fit between the modern pollen and vegetation-derived measures and apply the modelled relationship to Holocene pollen assemblages to reconstruct past trait dynamics and temporal changes in functional vegetation patterns.",0,7,TRUE,FALSE,TRUE,Regional,Europe,England,TRUE,FALSE,2,2,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,NA,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,NA,TRUE,FALSE,FALSE,NA,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,NA,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,LME,"Leaf C and N were more predictable from pollen data than
 mass-area traits (SLA/LDMC). RPP adjustment did not significantly improve the fit. They highlighted the importance of using modern pollen–plant relationships also for functional palaeodiversity. They showed in modern pollen–plant study from fen peatland that some leaf traits (C and N content) were better reconstructed from pollen data than others (specific leaf area and leaf dry matter content).",NA
8,"The mid-Holocene vegetation of the Mediterranean region 
and southern Europe, and comparison with the present day","Collins, P. M.",2012,Journal of Biogeography,10.1111/j.1365-2699.2012.02738.x,"Biogeography, biome distribution, Holocene, 
Mediterranean, phytogeography, pollen, ruined 
landscape hypothesis, southern Europe, 
vegetation dynamics, vegetation history","To contribute to the intense debate surrounding the relative influence
 of climate and humans on Mediterranean-region land cover over the
 past 6000 years, we assess the Holocene biogeography and vegetation
 history of southern Europe by means of an extensive pollen record dataset.","1) How did Mediterranean vegetation at the mid-Holocene
 differ from that of the present day? 
2) Will our novel treatment of all available data, with more 
sites and better quality control, challenge the commonly
 accepted paradigm of a ‘ruined’ Mediterranean?",0,6,TRUE,TRUE,FALSE,Subcontinental,Europe,"Mediterranean
region",TRUE,FALSE,198,198,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,"European Pollen Database,
PANGEA",TRUE,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,"Prentice et al. (1996), Peyron et al. (1998)",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,NA,"Temporal difference analysis is more meaningful when only sites 
containing samples for all time slices are analysed. During the mid
Holocene, southern Europe was more heavily forested with temperate 
vegetation than it is at present, but drought-tolerant xeric vegetation
 was still widespread along the southern margins of the region. 
Although human land use may have caused the degradation 
of land between the mid-Holocene and the present, the mere 
presence of xeric vegetation in the Mediterranean region 
does not require human impact. This challenges the commonly
 held belief that modern Mediterranean vegetation represents 
a ‘degraded’ state.",NA
9,"Pollen, plant macrofossil and charcoal records for
palaeovegetation reconstruction in the Mediterranean-Black
 Sea Corridor since the  Last Glacial Maximum","Cordova, C. E.",2009,Quaternary International,10.1016/j.quaint.2007.06.015,NA,"To develop an updated and improved biomization scheme combining
pollen, plant macrofossils, and charcoal records to reconstruct structural
 vegetation and fire dynamics across the Mediterranean-Black Sea Corridor.","1) To establish a collaborative regional database framework
containing metadata and multi-proxy records.

2) To refine a specialized biomization method capable
of processing macrofossil data in tandem with pollen records.

3) To outline structural plant changes and fire history
 over millennial scales since the Last Glacial Maximum (LGM).",0,21,TRUE,TRUE,FALSE,Subcontinental,"Europe, Asia","Mediterranean
region",TRUE,FALSE,NA,99,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,European Pollen Database,TRUE,TRUE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Prentice et al. (1996),FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,"Integrating macrofossils and charcoal alongside pollen clarified open
 vs. closed canopy structures that were previously ambiguous. The
LGM was dominated by open, cold steppe and dry shrublands.
The early to mid-Holocene witnessed widespread expansion of
temperate and Mediterranean evergreen forests driven by rising
moisture. In the late Holocene, human agricultural expansion and
 shifting fire frequencies caused widespread forest fragmentation
and a secondary expansion of disturbed xerophytic vegetation types.",NA
10,A new method based on surface-sample pollen data for reconstructing palaeovegetation patterns,"Cruz-Silva, E",2022,Journal of Biogeography,10.1111/jbi.14448,"Biomes, biomisation, Eastern Mediterranean, EMBSeCBIO, palaeovegetation, pollen data, potential natural vegetation, vegetation change, vegetation reconstruction",Develop and evaluate a new pollen-based method for reconstructing past vegetation patterns that explicitly accounts for within-biome variability and compare it with classical biomization.,"1) Develop a reconstruction method based on modern surface pollen; 
2) compare its performance with biomization; 
3) validate the method using modern and fossil pollen; 
4) reconstruct European vegetation changes.",0,0,NA,NA,NA,Continental,"Europe, Asia, Africa",NA,TRUE,FALSE,5765,NA,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,"SPECIAL Pollen Data Set, EMBSeCBIO Pollen Database",TRUE,FALSE,TRUE,NA,TRUE,TRUE,FALSE,FALSE,FALSE,NA,TRUE,FALSE,NA,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"Dissimilarity-based biome reconstruction using modern pollen analogues, search windows, biome affinity scores, and comparison with classical biomization.","The method captured changes in the importance of individual taxa along environmental gradients. The balanced accuracy obtained for the EMBSeCBIO region using the new method was better than obtained using biomisation (77% vs. 65%). When the method was applied to high-resolution fossil records, 70% of the entities showed more temporally stable biome assignments than obtained using biomisation. The technique also identified likely non-analogue assemblages in a synthetic modern dataset and in fossil records.",INTRODUCTION!!!
